id,beta,debt_ratio,liquidity_ratio,base_reserves_begin,market_price_begin,user_a_position,liquidate_price,user_b_position,market_price_after_b,profit_loss,profit_percent
157,0.95,9999,0.04,"(36649871750740971435566, 3053950989251, 1645079973)",83.32774013565972,"(-145273043603770753635, 13382000000, 161463043603770755683)",91.38862274091306,"(21813310110229456647341, -157695000000, 1813310110229456647341)",91.38412862205365,0.5118268591288082,
158,0.95,9999,0.06,"(36649871750740971435566, 3053950989251, 1645080033)",83.32774013565972,"(-218338708124272618852, 20073000000, 242728708124272618852)",90.84624006466585,"(21790247068631272589846, -154885000000, 1790247068631272589846)",90.84185763277524,1.1469135706284728,
159,0.95,9999,0.08,"(36649871750740971435566, 3053950989251, 1645080093)",83.32774013565972,"(-291693616102966815782, 26764000000, 324353616102966811686)",90.30521737066591,"(21766864549537359490222, -152070000000, 1766864549537359490222)",90.30091763334332,2.0680539884041305,
160,0.95,9999,0.1,"(36649871750740971435566, 3053950989251, 1645080154)",83.32774013565972,"(-365340154927210230756, 33455000000, 406340154927210230756)",89.76555713685697,"(21743169469037592228168, -149251000000, 1743169469037592228168)",89.76136777053762,3.276371228352563,
161,0.95,9999,0.12,"(36649871750740971435566, 3053950989251, 1645080154)",83.32774013565972,"(-439280733185477777237, 40146000000, 488690733185477777237)",89.22726184399987,"(21719146552688676375775, -146427000000, 1719146552688676375775)",89.22315363376354,4.773373264941686,
162,0.95,9999,0.14,"(36649871750740971435566, 3053950989251, 1645080214)",83.32774013565972,"(-513507780903230835915, 46837000000, 571407780903230835915)",88.62876071190146,"(21682474610531176444373, -142505000000, 1682474610531176444373)",88.62478623696946,6.595897454664354,
163,1,9999,0.01,"(36649871750740971435566, 3053950989251, 1645080379)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.1935305599996,"(21845215938489129152743, -161707000000, 1845215938489129152743)",92.1889452832591,0.09625348611407554,
164,1,9999,0.02,"(36649871750740971435566, 3053950989251, 1645080439)",83.32774013565972,"(-72484256122461290678, 6691000000, 80554256122461290678)",91.92589482163609,"(21834840591286163617951, -160388000000, 1834840591286163617951)",91.92131185221834,0.1769815476123155,
165,1,9999,0.04,"(36649871750740971435566, 3053950989251, 1645080499)",83.32774013565972,"(-145263043603770755683, 13382000000, 161463043603770755683)",91.35670332387,"(21807208758920241011368, -157137000000, 1807208758920241011368)",91.35225904554486,0.5741067295999471,
166,1,9999,0.06,"(36649871750740971435566, 3053950989251, 1645080559)",83.32774013565972,"(-218318708124272618852, 20073000000, 242728708124272618852)",90.7974314997975,"(21780819536469459962399, -154028000000, 1780819536469459962399)",90.79305878266113,1.2878934267568074,
167,1,9999,0.08,"(36649871750740971435566, 3053950989251, 1645080619)",83.32774013565972,"(-291663616102966815782, 26764000000, 324353616102966811686)",90.2385703642563,"(21753882232160992475568, -150897000000, 1753882232160992475568)",90.23432784564235,2.3193995575218924,
168,1,9999,0.1,"(36649871750740971435566, 3053950989251, 1645080634)",83.32774013565972,"(-365290154927210230756, 33455000000, 406340154927210230756)",89.63757051165312,"(21717986516982528159546, -146990000000, 1717986516982528159546)",89.63341974340182,3.6884420395961346,
169,1,9994,0.12,"(36649871750740971435566, 3053950989251, 1645080694)",83.32774013565972,"(-439210733185477777237, 40146000000, 488690733185477777237)",89.12833066882038,"(21699518249887800830289, -144675000000, 1699518249887800830289)",89.12429941373333,5.576135600745109,
170,1,10000,0.14,"(36649871750740971435566, 3053950989251, 1645080814)",83.32774013565972,"(-513417780903230835915, 46837000000, 571407780903230835915)",88.57604461400534,"(21671908902012289422768, -141568000000, 1671908902012289422768)",88.57208815467578,7.335850099950243,
176,0.5,10099,0.01,"(36649871750740971435566, 3053950989251, 1645083487)",83.32774013565972,"(-36206937853059909513, 3345000000, 40226937853059909001)",92.28955723466862,"(22036001901123186006188, -179409000000, 2036001901123186006188)",93.20730559103214,-0.3026014510076428,
177,0.5,10099,0.02,"(36649871750740971435566, 3053950989251, 1645083547)",83.32774013565972,"(-72504256122461289654, 6691000000, 80554256122461290678)",92.08389613480175,"(22037635816977387083934, -179156000000, 2037635816977387083934)",92.9996109160339,-0.715730806905679,
178,0.5,10099,0.04,"(36649871750740971435566, 3053950989251, 1645083607)",83.32774013565972,"(-145333043603770755683, 13382000000, 161463043603770755683)",91.67657527237384,"(22041524125449977724979, -178707000000, 2041524125449977724979)",92.58825191507239,-1.5416501165760883,
179,0.5,10101,0.06,"(36649871750740971435566, 3053950989251, 1645083667)",83.32774013565972,"(-218478708124272618852, 20073000000, 242728708124272618852)",91.302924550493,"(22051668680330017484102, -178834000000, 2051668680330017484102)",92.21085158320264,-2.433292917178074,
180,0.5,10099,0.08,"(36649871750740971435566, 3053950989251, 1645083757)",83.32774013565972,"(-291953616102966811686, 26764000000, 324353616102966811686)",90.90933943217726,"(22057909990001285766181, -178596000000, 2057909990001285766181)",91.81332436288947,-3.196773702068377,
181,0.5,10099,0.1,"(36649871750740971435566, 3053950989251, 1645083817)",83.32774013565972,"(-365750154927210230756, 33455000000, 406340154927210230756)",90.51815287660612,"(22064492346485574690962, -178386000000, 2064492346485574690962)",91.4182563632127,-4.021218374314987,
